category,adapter_ram_mb,bank_label,capacity_bytes,capacity_gb,computer_info_computer_name,computer_info_domain,computer_info_manufacturer,computer_info_model,computer_info_number_of_logical_processors,computer_info_number_of_processors,computer_info_primary_owner_name,computer_info_system_type,computer_info_total_physical_memory,computer_info_workgroup,data_width,device_id,device_id_short,device_locator,device_name,drive_type,driver_version,environment_info_hostname,environment_info_program_files,environment_info_program_files_x86,environment_info_system_root,environment_info_temp_dir,environment_info_user_domain,environment_info_user_profile,environment_info_username,form_factor,interface_type,manufacturer,media_type,memory_type,model,name,os_info_architecture,os_info_build_number,os_info_free_physical_memory,os_info_free_virtual_memory,os_info_install_date,os_info_last_boot_up_time,os_info_manufacturer,os_info_name,os_info_serial_number,os_info_service_pack,os_info_system_directory,os_info_total_virtual_memory_size,os_info_total_visible_memory_size,os_info_version,os_info_windows_directory,part_number,partition_details_0_bootable,partition_details_0_drive_letter,partition_details_0_file_system,partition_details_0_free_space_bytes,partition_details_0_free_space_gb,partition_details_0_partition_number,partition_details_0_primary_partition,partition_details_0_size_bytes,partition_details_0_size_gb,partition_details_0_starting_offset,partition_details_0_type,partition_details_0_volume_label,partition_details_1_bootable,partition_details_1_drive_letter,partition_details_1_file_system,partition_details_1_free_space_bytes,partition_details_1_free_space_gb,partition_details_1_partition_number,partition_details_1_primary_partition,partition_details_1_size_bytes,partition_details_1_size_gb,partition_details_1_starting_offset,partition_details_1_type,partition_details_1_volume_label,partition_details_2_bootable,partition_details_2_partition_number,partition_details_2_primary_partition,partition_details_2_size_bytes,partition_details_2_size_gb,partition_details_2_starting_offset,partition_details_2_type,partition_details_3_bootable,partition_details_3_drive_letter,partition_details_3_file_system,partition_details_3_free_space_bytes,partition_details_3_free_space_gb,partition_details_3_partition_number,partition_details_3_primary_partition,partition_details_3_size_bytes,partition_details_3_size_gb,partition_details_3_starting_offset,partition_details_3_type,partition_details_3_volume_label,partition_details_4_bootable,partition_details_4_partition_number,partition_details_4_primary_partition,partition_details_4_size_bytes,partition_details_4_size_gb,partition_details_4_starting_offset,partition_details_4_type,partitions,platform_info_machine,platform_info_platform,platform_info_processor,platform_info_python_version,platform_info_release,platform_info_system,platform_info_version,pnp_device_id,product_id,serial_number,service,size_bytes,size_gb,speed_mhz,spin_info_install_path,spin_info_installed,spin_info_license_number,spin_info_version,status,total_width,usb_class,vendor_id,windows_edition_edition,windows_edition_sku
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&MI_00\7&5924C20&0&0000,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&MI_00\7&5924C20&0&0000,C336,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_8153\0033000001,,,Realtek USB GbE Family Controller,,,,,,,,,,,,,Realtek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_8153\0033000001,8153,0033000001,,,,,,,,,OK,,Unknown,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&LAMPARRAY\7&199026D&0&128131523634_SLOT00,,,G403 HERO,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&LAMPARRAY\7&199026D&0&128131523634_SLOT00,C08F,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_5409\6&21F09E5C&0&4,,,Generic USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_5409\6&21F09E5C&0&4,5409,6,,,,,,,,,OK,,Hub,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&MI_01\7&199026D&0&0001,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&MI_01\7&199026D&0&0001,C08F,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&MI_00\7&199026D&0&0000,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F&MI_00\7&199026D&0&0000,C08F,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506&MI_00\8&15F8AE9E&0&0000,,,DELL PROFESSIONAL SOUND BAR AE515,,,,,,,,,,,,,(Generic USB Audio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506&MI_00\8&15F8AE9E&0&0000,A506,8,,,,,,,,,OK,,Unknown,413C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F&MI_01\6&1F9842B6&0&0001,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F&MI_01\6&1F9842B6&0&0001,0C3F,6,,,,,,,,,OK,,Unknown,1B1C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_064F&PID_2AF9\000006903986,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_064F&PID_2AF9\000006903986,2AF9,000006903986,,,,,,,,,OK,,Unknown,064F,,
USB Device,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506\7&D60CE5A&0&1,,,USB Composite Device,,,,,,,,,,,,,(Standard USB Host Controller),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506\7&D60CE5A&0&1,A506,7,,,,,,,,,OK,,Unknown,413C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_0409\6&2C4D20CB&0&4,,,Generic SuperSpeed USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_0409\6&2C4D20CB&0&4,0409,6,,,,,,,,,OK,,Hub,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0781&PID_55AE\MSFT30323433363131343034353132,,,USB Attached SCSI (UAS) Mass Storage Device,,,,,,,,,,,,,USB Attached SCSI (UAS) Compatible Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0781&PID_55AE\MSFT30323433363131343034353132,55AE,MSFT30323433363131343034353132,,,,,,,,,OK,,Mass Storage,0781,,
USB Device,,,,,,,,,,,,,,,,USB\ROOT_HUB30\4&2FD48294&0&0,,,USB Root Hub (USB 3.0),,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\ROOT_HUB30\4&2FD48294&0&0,Unknown,4,,,,,,,,,OK,,Hub,Unknown,,
USB Device,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F\52794F0FE944AD53AFFB2A9A074EFEDE,,,USB Composite Device,,,,,,,,,,,,,(Standard USB Host Controller),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F\52794F0FE944AD53AFFB2A9A074EFEDE,0C3F,52794F0FE944AD53AFFB2A9A074EFEDE,,,,,,,,,OK,,Unknown,1B1C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_1100\6&21F09E5C&0&6,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_1100\6&21F09E5C&0&6,1100,6,,,,,,,,,OK,,Unknown,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_174C&PID_3074\5&CC3F949&0&25,,,Generic SuperSpeed USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_174C&PID_3074\5&CC3F949&0&25,3074,5,,,,,,,,,OK,,Hub,174C,,
Memory Module,,BANK 0,34359738368,32.0,,,,,,,,,,,64,,,Controller0-DIMM1,,,,,,,,,,,,DIMM,,Corsair,,Unknown,,,,,,,,,,,,,,,,,,CMK5X32G2B56C36A2   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000000,,,,5600,,,,,,64,,,,
Memory Module,,BANK 0,34359738368,32.0,,,,,,,,,,,64,,,Controller1-DIMM1,,,,,,,,,,,,DIMM,,Corsair,,Unknown,,,,,,,,,,,,,,,,,,CMK5X32G2B56C36A2   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000000,,,,5600,,,,,,64,,,,
Storage Device,,,,,,,,,,,,,,,,\\.\PHYSICALDRIVE1,,,,HDD,,,,,,,,,,,SCSI,(Standard disk drives),External hard disk media,,SanDisk Extreme 55AE SCSI Disk Device,,,,,,,,,,,,,,,,,,True,E:,FAT32,29352132608,27.34,Unknown,True,34359738368,32.0,1048576,Unknown,ESD-USB,False,F:,NTFS,30870413312,28.75,1,True,104857600000,97.66,34360786944,Installable File System,InstallationFiles,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,SCSI\DISK&VEN_SANDISK&PROD_EXTREME_55AE\6&2425C30C&0&000000,,243611404512,,1000169372160,931.48,,,,,,OK,,,,,
Storage Device,,,,,,,,,,,,,,,,\\.\PHYSICALDRIVE0,,,,HDD,,,,,,,,,,,SCSI,(Standard disk drives),Fixed hard disk media,,WD_BLACK SN770 2TB,,,,,,,,,,,,,,,,,,True,E:,FAT32,29352132608,27.34,Unknown,True,104857600,0.1,1048576,GPT: System,ESD-USB,False,F:,NTFS,30870413312,28.75,1,True,1133048233984,1055.23,122683392,GPT: Basic Data,InstallationFiles,False,2,False,675282944,0.63,1133170917376,GPT: Unknown,False,D:,NTFS,833001177088,775.79,3,True,865976975360,806.5,1133847248896,GPT: Basic Data,Data,False,4,False,572522496,0.53,1999825272832,GPT: Unknown,5,,,,,,,,SCSI\DISK&VEN_NVME&PROD_WD_BLACK_SN770_2\5&DFA56E8&0&000000,,E823_8FA6_BF53_0001_001B_444A_414D_EE08.,,2000396321280,1863.01,,,,,,OK,,,,,
Operating System,,,,,SEBASTIANWORKST,WORKGROUP,ASUS,System Product Name,32,1,Sebastian,x64-based PC,68523327488,WORKGROUP,,,,,,,,SEBASTIANWORKST,C:\Program Files,C:\Program Files (x86),C:\WINDOWS,C:\Users\SEBAST~1\AppData\Local\Temp,SebastianWorkST,C:\Users\Sebastian,Sebastian,,,,,,,,64-bit,26100,48268432,47594216,20250318223758.000000+060,20250519155328.165352+120,Microsoft Corporation,Microsoft Windows 11 Pro,00330-80000-00000-AA046,0,C:\WINDOWS\system32,71111616,66917312,10.0.26100,C:\WINDOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD64,Windows-10-10.0.26100-SP0,"Intel64 Family 6 Model 183 Stepping 1, GenuineIntel",3.7.9,10,Windows,10.0.26100,,,,,,,,,,,,success,,,,Unknown,Unknown
Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Program Files\SPINDLE 4.5.8.0,True,Not found,Not found,success,,,,,
GPU,-1.0,,,,,,,,,,,,,,,,,,,,32.0.15.7260,,,,,,,,,,,,,,,NVIDIA GeForce RTX 4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,
