category,adapter_ram_mb,bank_label,capacity_bytes,capacity_gb,computer_info_computer_name,computer_info_domain,computer_info_manufacturer,computer_info_model,computer_info_number_of_logical_processors,computer_info_number_of_processors,computer_info_primary_owner_name,computer_info_system_type,computer_info_total_physical_memory,computer_info_workgroup,data_width,device_id,device_id_short,device_locator,device_name,drive_type,driver_version,environment_info_hostname,environment_info_program_files,environment_info_program_files_x86,environment_info_system_root,environment_info_temp_dir,environment_info_user_domain,environment_info_user_profile,environment_info_username,form_factor,interface_type,manufacturer,media_type,memory_type,model,name,os_info_architecture,os_info_build_number,os_info_free_physical_memory,os_info_free_virtual_memory,os_info_install_date,os_info_last_boot_up_time,os_info_manufacturer,os_info_name,os_info_serial_number,os_info_service_pack,os_info_system_directory,os_info_total_virtual_memory_size,os_info_total_visible_memory_size,os_info_version,os_info_windows_directory,part_number,partition_details_0_bootable,partition_details_0_drive_letter,partition_details_0_file_system,partition_details_0_free_space_bytes,partition_details_0_free_space_gb,partition_details_0_partition_number,partition_details_0_primary_partition,partition_details_0_size_bytes,partition_details_0_size_gb,partition_details_0_starting_offset,partition_details_0_type,partition_details_0_volume_label,partition_details_1_bootable,partition_details_1_drive_letter,partition_details_1_file_system,partition_details_1_free_space_bytes,partition_details_1_free_space_gb,partition_details_1_partition_number,partition_details_1_primary_partition,partition_details_1_size_bytes,partition_details_1_size_gb,partition_details_1_starting_offset,partition_details_1_type,partition_details_1_volume_label,partition_details_2_bootable,partition_details_2_partition_number,partition_details_2_primary_partition,partition_details_2_size_bytes,partition_details_2_size_gb,partition_details_2_starting_offset,partition_details_2_type,partition_details_3_bootable,partition_details_3_drive_letter,partition_details_3_file_system,partition_details_3_free_space_bytes,partition_details_3_free_space_gb,partition_details_3_partition_number,partition_details_3_primary_partition,partition_details_3_size_bytes,partition_details_3_size_gb,partition_details_3_starting_offset,partition_details_3_type,partition_details_3_volume_label,partition_details_4_bootable,partition_details_4_partition_number,partition_details_4_primary_partition,partition_details_4_size_bytes,partition_details_4_size_gb,partition_details_4_starting_offset,partition_details_4_type,partitions,platform_info_machine,platform_info_platform,platform_info_processor,platform_info_python_version,platform_info_release,platform_info_system,platform_info_version,pnp_device_id,product_id,serial_number,service,size_bytes,size_gb,speed_mhz,spin_info_install_path,spin_info_installed,spin_info_license_number,spin_info_version,status,total_width,usb_class,vendor_id,windows_edition_edition,windows_edition_sku
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,7A24,,Intel(R) SPI (flash) Controller - 7A24,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,A77F,,Intel RST VMD Controller A77F,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,,Not available,iaStorVD,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,A77D,,Intel(R) Platform Monitoring Technology Driver,,,,,,,,,,,,,Intel(R) Platform Monitoring Technology Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,,Not available,IntelPMT,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,7A60,,Intel(R) USB 3.20 eXtensible Host Controller - 1.20 (Microsoft),,,,,,,,,,,,,Generic USB xHCI Host Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,,Not available,USBXHCI,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,5017,,Standard NVM Express Controller,,,,,,,,,,,,,Standard NVM Express Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,,Not available,stornvme,,,,,,,,OK,,,15B7,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,7A68,,Intel(R) Management Engine Interface #1,,,,,,,,,,,,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,,Not available,MEIx64,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A04&SUBSYS_88821043&REV_11\3&11583659&0&F8,7A04,,Intel(R) LPC Controller/eSPI Controller - 7A04,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A04&SUBSYS_88821043&REV_11\3&11583659&0&F8,,Not available,msisadrv,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A70D&SUBSYS_88821043&REV_01\3&11583659&0&08,A70D,,Intel(R) PCIe RC 010 G5 - A70D,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A70D&SUBSYS_88821043&REV_01\3&11583659&0&08,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4C&SUBSYS_88821043&REV_11\3&11583659&0&A8,7A4C,,Intel(R) Serial IO I2C Host Controller - 7A4C,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4C&SUBSYS_88821043&REV_11\3&11583659&0&A8,,Not available,iaLPSS2_I2C_ADL,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A40&SUBSYS_88821043&REV_11\3&11583659&0&D8,7A40,,Intel(R) PCI Express Root Port #17 - 7A40,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A40&SUBSYS_88821043&REV_11\3&11583659&0&D8,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A50&SUBSYS_887C1043&REV_11\3&11583659&0&FB,7A50,,High Definition Audio Controller,,,,,,,,,,,,,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A50&SUBSYS_887C1043&REV_11\3&11583659&0&FB,,Not available,HDAudBus,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A48&SUBSYS_88821043&REV_11\3&11583659&0&D0,7A48,,Intel(R) PCI Express Root Port #25 - 7A48,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A48&SUBSYS_88821043&REV_11\3&11583659&0&D0,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A23&SUBSYS_88821043&REV_11\3&11583659&0&FC,7A23,,Intel(R) SMBus - 7A23,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A23&SUBSYS_88821043&REV_11\3&11583659&0&FC,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A62&SUBSYS_88821043&REV_11\3&11583659&0&B8,7A62,,Standard SATA AHCI Controller,,,,,,,,,,,,,Standard SATA AHCI Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A62&SUBSYS_88821043&REV_11\3&11583659&0&B8,,Not available,storahci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_22BB&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0108,22BB,,High Definition Audio Controller,,,,,,,,,,,,,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_22BB&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0108,,Not available,HDAudBus,,,,,,,,OK,,,10DE,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A70&SUBSYS_00948086&REV_11\3&11583659&0&A3,7A70,,Intel(R) Wi-Fi 6E AX211 160MHz,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A70&SUBSYS_00948086&REV_11\3&11583659&0&A3,,Not available,Netwtw14,,,,,,,,OK,,,8086,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_5409\5&CC3F949&0&1,,,Generic USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_5409\5&CC3F949&0&1,5409,5,,,,,,,,,OK,,Hub,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF&MI_02\6&DE2EAF5&0&0002,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF&MI_02\6&DE2EAF5&0&0002,19AF,6,,,,,,,,,OK,,Unknown,0B05,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&LAMPARRAY\7&5924C20&0&0D6930563430_SLOT00,,,G213,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&LAMPARRAY\7&5924C20&0&0D6930563430_SLOT00,C336,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF&MI_00\6&DE2EAF5&0&0000,,,AURA LED Controller,,,,,,,,,,,,,WinUsb Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF&MI_00\6&DE2EAF5&0&0000,19AF,6,,,,,,,,,OK,,Unknown,0B05,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336\0D6930563430,,,G213,,,,,,,,,,,,,Logitech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336\0D6930563430,C336,0D6930563430,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_54BB\6&21F09E5C&0&5,,,BillBoard Device,,,,,,,,,,,,,WinUsb Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_54BB\6&21F09E5C&0&5,54BB,6,,,,,,,,,OK,,Unknown,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506&MI_03\8&15F8AE9E&0&0003,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_413C&PID_A506&MI_03\8&15F8AE9E&0&0003,A506,8,,,,,,,,,OK,,Unknown,413C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF\9876543210,,,USB Composite Device,,,,,,,,,,,,,(Standard USB Host Controller),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0B05&PID_19AF\9876543210,19AF,9876543210,,,,,,,,,OK,,Unknown,0B05,,
USB Device,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_0409\5&CC3F949&0&17,,,Generic SuperSpeed USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_0BDA&PID_0409\5&CC3F949&0&17,0409,5,,,,,,,,,OK,,Hub,0BDA,,
USB Device,,,,,,,,,,,,,,,,USB\VID_256F&PID_C635\7&D60CE5A&0&2,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_256F&PID_C635\7&D60CE5A&0&2,C635,7,,,,,,,,,OK,,Unknown,256F,,
USB Device,,,,,,,,,,,,,,,,USB\VID_8087&PID_0033\5&CC3F949&0&14,,,Intel(R) Wireless Bluetooth(R),,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_8087&PID_0033\5&CC3F949&0&14,0033,5,,,,,,,,,OK,,Unknown,8087,,
USB Device,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F&MI_00\6&1F9842B6&0&0000,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_1B1C&PID_0C3F&MI_00\6&1F9842B6&0&0000,0C3F,6,,,,,,,,,OK,,Unknown,1B1C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_174C&PID_2074\5&CC3F949&0&6,,,Generic USB Hub,,,,,,,,,,,,,(Standard USB HUBs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_174C&PID_2074\5&CC3F949&0&6,2074,5,,,,,,,,,OK,,Hub,174C,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&MI_01\7&5924C20&0&0001,,,USB Input Device,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C336&MI_01\7&5924C20&0&0001,C336,7,,,,,,,,,OK,,Unknown,046D,,
USB Device,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F\128131523634,,,G403 HERO,,,,,,,,,,,,,Logitech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB\VID_046D&PID_C08F\128131523634,C08F,128131523634,,,,,,,,,OK,,Unknown,046D,,
